handle,title,subtitle,description,category_handle,dietary_flags,vat_rate,status
coconut-milk-powder,Coconut Milk Powder,,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
coconut-desiccated-fine,Coconut Desiccated (Fine),,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
coconut-desicated-medium,Coconut Desicated Medium,,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
cashew-roasted-salted,Cashew Roasted Salted,,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
cashew-large-white-pieces,Cashew (Large White Pieces),,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
cashew-split,Cashew Split,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
cashew-kernel,Cashew Kernel,,Our products are manufactured in a site that handles gluten; soya;./images/natco_cashew-kernel-300g.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
walnut-halves,Walnut Halves,,Our products are manufactured in a site that handles gluten; soya;./images/natco_walnut-halves-700g.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
pecans,Pecans,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
almond-blanched-whole,Almond Blanched Whole,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
blanched-almond-whole,Blanched Almond Whole,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
almond-flakes,Almond Flakes,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
almonds-ground,Almonds Ground,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
almonds,Almonds,,Our products are manufactured in a site that handles gluten; soya;./images/natco_almonds-1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
pavbhaji-masala-mangal,Pavbhaji Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
biryani-masala-mangal,Biryani Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
chicken-masala-mangal,Chicken Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
sambhar-masala-mangal,Sambhar Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
pickle-masala-mangal,Pickle Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
meat-masala-mangal,Meat Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
chat-masala-mangal,Chat Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
chana-masala-mangal,Chana Masala Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
anardana-powder-mangal,Anardana Powder Mangal,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,powdered_spices,vegetarian;vegan;gluten-free,0,published
soya-beans,Soya Beans,,Protein-rich soya from Natco Foods. Versatile meat alternative for curries and snacks.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
red-lentils-polished,Red Lentils Polished,,Allergen Info: May Contain Wheat - Our Red Lentils do not contain gluten and are not packed on the same machine as gluten-products; but we do have gluten products in a dedicated area of the factory. Our products are manufactured in a site that handles gluten;./images/natco_red-lentils-polished-2kg.jpg; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,lentils_dals,vegetarian;vegan;gluten-free,0,published
mung-dal-yellow,Mung Dal Yellow,,Our products are manufactured in a site that handles gluten; soya;./images/natco_mung-dal-yellow-1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,lentils_dals,vegetarian;vegan;gluten-free,0,published
mung-split,Mung Split,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,lentils_dals,vegetarian;vegan;gluten-free,0,published
mung-beans,Mung Beans,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
green-lentils,Green Lentils,,Our products are manufactured in a site that handles gluten; soya;./images/natco_green-lentils-1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,lentils_dals,vegetarian;vegan;gluten-free,0,published
chanadal-polished,Chanadal Polished,,Our products are manufactured in a site that handles gluten; soya;./images/natco_chanadal-polished-2kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,lentils_dals,vegetarian;vegan;gluten-free,0,published
brown-lentils,Brown Lentils,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,lentils_dals,vegetarian;vegan;gluten-free,0,published
butter-beans,Butter Beans,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
black-eye-beans,Black Eye Beans,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
alubia-beans,Alubia Beans,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
coconut-water,Coconut Water,,Refreshing drink from Natco Foods. Authentic Indian taste.,coconut_products,vegetarian,0,published
rose-syrup,Rose Syrup,,Food-grade colouring and flavouring essence from Natco Foods. Ideal for baking and desserts.,baking_essences,vegetarian,0,published
dried-tarragon,Dried Tarragon,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
sage-jar,Sage Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
parsley-jar,Parsley Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
oregano-jar,Oregano Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
mixed-herbs-jar,Mixed Herbs Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
mint-jar,Mint Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
marjoram-jar,Marjoram Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
coriander-leaves-jar,Coriander Leaves Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
basil-jar,Basil Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
milk-powder,Milk Powder,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,baking_essences,vegetarian,0,published
ragi-flour,Ragi Flour,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,speciality_flours_grains,vegetarian;vegan,0,published
millet-bajri-flour,Millet (Bajri) Flour,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,speciality_flours_grains,vegetarian;vegan,0,published
couscous,Couscous,,Fine couscous and wheat products from Natco Foods. Quick and versatile.,speciality_flours_grains,vegetarian,0,published
semolina-extra-coarse,Semolina Extra Coarse,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,semolina_rava,vegetarian;vegan,0,published
semolina-coarse,Semolina Coarse,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,semolina_rava,vegetarian;vegan,0,published
semolina-fine,Semolina Fine,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,semolina_rava,vegetarian;vegan,0,published
rice-flour,Rice Flour,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,speciality_flours_grains,vegetarian;vegan,0,published
ground-rice,Ground Rice,,TRS ground rice is milled and specially treated to ensure it is free from any impurities. This versatile product can be used in savouries and sweets.,speciality_flours_grains,vegetarian;vegan,0,published
gram-flour-papa-brand,Gram Flour (Papa brand),,Our products are manufactured in a site that handles gluten; soya;./images/natco_gram-flour-papa-brand-2kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,gram_flour_besan,vegetarian;vegan,0,published
gram-flour-superfine,Gram Flour Superfine,,Our products are manufactured in a site that handles gluten; soya;./images/natco_gram-flour-superfine-2kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,gram_flour_besan,vegetarian;vegan,0,published
white-maize-meal,White Maize Meal,,Our versatile white maize meal is perfect for a variety of dishes. Use flour to make bread and Rotis or in porridge and puddings. White maize meal is a staple food in several cuisines.,speciality_flours_grains,vegetarian;vegan,0,published
cornmeal-medium,Cornmeal Medium,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,speciality_flours_grains,vegetarian;vegan,0,published
cornmeal-fine,Cornmeal Fine,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,speciality_flours_grains,vegetarian;vegan,0,published
chakki-atta-multigrain,Chakki Atta Multigrain,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,atta_flour,vegetarian;vegan,0,published
chapati-flour-medium,Chapati Flour Medium,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,atta_flour,vegetarian;vegan,0,published
chapati-flour-white,Chapati Flour White,,Stone-ground flour from Natco Foods. Perfect for Indian breads; batters; and baking.,atta_flour,vegetarian;vegan,0,published
golden-raisins,Golden Raisins,,Naturally sweet dried fruit from Natco Foods. Perfect for snacking and baking.,nuts_seeds,vegetarian,0,published
toovar,Toovar,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
suran-yam,Suran (Yam),,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
punjabi-tinda-full-case-12x400g,Punjabi Tinda Full Case 12x400g,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
okra-full-case-12x400g,Okra Full Case 12x400g,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
lotus-root,Lotus Root,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
karela,Karela,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
sarson-ka-saag,Sarson Ka Saag,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
patra,Patra,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
tomatoes-chopped-full-case-12x400g,Tomatoes Chopped Full Case 12x400g,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
tomatoes-peeled,Tomatoes Peeled,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
tomato-paste,Tomato Paste,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
spinach-leaf,Spinach Leaf,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
rose-coco-borlotti-beans,Rose Coco (Borlotti) Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
coconut-oil-parachute-brand,Coconut Oil (Parachute Brand),,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
olive-oil-extra-virgin,Olive Oil Extra Virgin,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
mango-pulp-kesar,Mango Pulp Kesar,,Sweet Alphonso mango products from Natco Foods. Taste of Indian summer all year round.,pantry_tamarind_canned,vegetarian,0,published
mango-slices-alphonso,Mango Slices Alphonso,,Sweet Alphonso mango products from Natco Foods. Taste of Indian summer all year round.,pantry_tamarind_canned,vegetarian,0,published
mango-pulp-alphonso,Mango Pulp Alphonso,,Sweet Alphonso mango products from Natco Foods. Taste of Indian summer all year round.,pantry_tamarind_canned,vegetarian,0,published
ghee-pure-butter,Ghee Pure Butter,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,pure_ghee,vegetarian;vegan;gluten-free,0,published
ghee-pure-plough-brand,Ghee Pure (Plough brand),,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,pure_ghee,vegetarian;vegan;gluten-free,0,published
kala-chana-boiled,Kala Chana Boiled,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
coconut-cream,Coconut Cream,,Creamy coconut products from Natco Foods. Authentic taste for curries and desserts.,coconut_products,vegetarian;vegan;gluten-free,0,published
coconut-milk-light,Coconut Milk Light,,Creamy coconut products from Natco Foods. Authentic taste for curries and desserts.,coconut_products,vegetarian;vegan;gluten-free,0,published
coconut-milk,Coconut Milk,,Rich and creamy coconut milk for Thai and South Indian curries. Essential pantry item.,coconut_products,vegetarian;vegan;gluten-free,0,published
coriander-mint-sauce,Coriander Mint Sauce,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
tamarind-amp-date-sauce,Tamarind &amp; Date Sauce,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
garlic-amp-chilli-sauce,Garlic &amp; Chilli Sauce,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
chilli-sauce-hot,Chilli Sauce Hot,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
tamarind-sauce,Tamarind Sauce,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
bombay-sandwich-spread,Bombay Sandwich Spread,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
garlic-amp-ginger-paste,Garlic &amp; Ginger Paste,,Kitchen essential from Natco Foods. A must-have for your pantry.,cooking_pastes_sauces,vegetarian,0,published
ginger-paste,Ginger Paste,,Kitchen essential from Natco Foods. A must-have for your pantry.,cooking_pastes_sauces,vegetarian,0,published
garlic-paste,Garlic Paste,,Kitchen essential from Natco Foods. A must-have for your pantry.,cooking_pastes_sauces,vegetarian;vegan;gluten-free,0,published
garlic-pickle,Garlic Pickle,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,pickles,vegetarian;vegan;gluten-free,0,published
mango-chutney-sweet,Mango Chutney Sweet,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
mango-chutney-spicy,Mango Chutney Spicy,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
thecha-chilli-paste,Thecha Chilli Paste,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,cooking_pastes_sauces,vegetarian,0,published
brinjal-chutney-sweet,Brinjal Chutney Sweet,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
chundo-chutney-sweet,Chundo Chutney Sweet,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
gorkeri-chutney-sweet,Gorkeri Chutney Sweet,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,chutneys_spreads,vegetarian;vegan;gluten-free,0,published
lime-pickle-hot,Lime Pickle Hot,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,pickles,vegetarian;vegan;gluten-free,0,published
mixed-pickle,Mixed Pickle,,Patak's Mixed Pickle - a medley of mango; lime and chilli in spiced oil; a tangy Indian pickle selection.,pickles,vegetarian;vegan;gluten-free,0,published
chilli-pickle-hot,Chilli Pickle Hot,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,pickles,vegetarian;vegan;gluten-free,0,published
mango-pickle-hot,Mango Pickle Hot,,Authentic Indian chutney and pickle from Natco Foods. Adds zest to any meal.,pickles,vegetarian;vegan;gluten-free,0,published
chick-peas,Chick Peas,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
chick-peas-full-case-12x400g,Chick Peas Full Case 12x400g,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian,0,published
pomace-olive-oil,Pomace Olive Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
pomace-olive-oil-blend-3-litres,Pomace Olive Oil Blend 3 Litres,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
red-kidney-beans-boiled-full-case-12x400g,Red Kidney Beans Boiled Full Case 12x400g,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian,0,published
red-kidney-beans,Red Kidney Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
chick-peas-full-case-4x1kg,Chick Peas Full Case 4x1kg,,Our products are manufactured in a site that handles gluten; soya;./images/natco_chick-peas-full-case-4x1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,beans_peas_pulses,vegetarian,0,published
coconut-flour,Coconut Flour,,Natural coconut products from Natco Foods. Versatile for cooking and baking.,coconut_products,vegetarian,0,published
all-purpose-seasoning,All Purpose Seasoning,,Expertly blended masala mix from Natco Foods. Perfect balance of spices for traditional dishes.,masalas_spice_blends,vegetarian;vegan;gluten-free,0,published
pine-nuts,Pine Nuts,,Premium nuts from Natco Foods. Perfect for snacking; cooking; and baking.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
mamra-basmati,Mamra Basmati,,High-quality rice from Natco Foods. A pantry essential for everyday meals.,basmati_rice,vegetarian;vegan;gluten-free,0,published
big-d-salted-peanuts-24x50g,Big D Salted Peanuts 24x50g,,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
big-d-honey-roast-peanuts-12x50g-packs-on-a-pub-card,Big D Honey Roast Peanuts 12x50g Packs on a Pub Card,,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
bhel-puri-kit,Bhel Puri Kit,,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,savouries_papadoms,vegetarian,0,published
big-d-salted-cashews-12x30g-cards,Big D Salted Cashews 12x30g Cards,,Roasted and seasoned nuts from Natco Foods. Delicious and satisfying snacks.,nuts_seeds,vegetarian;vegan;gluten-free,0,published
white-kidney-beans,White Kidney Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
spinach-puree,Spinach Puree,,Preserved vegetables from Natco Foods. Harvested at peak freshness.,pantry_tamarind_canned,vegetarian,0,published
black-eyed-beans,Black Eyed Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
pure-sesame-oil,Pure Sesame Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
groundnut-oil,Groundnut Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
pure-linseed-oil,Pure Linseed Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
castor-oil,Castor Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
almond-oil,Almond Oil,,Pure cooking oil from Natco Foods. Essential for Indian cooking and frying.,cooking_oils,vegetarian;vegan;gluten-free,0,published
rosemary-jar,Rosemary Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,herbs_leaves,vegetarian,0,published
demerara-sugar,Demerara Sugar,,Natural sugar from Natco Foods. Essential for Indian sweets and daily use.,sweeteners,vegetarian;vegan;gluten-free,0,published
whole-birdseye-chilli-jar,Whole Birdseye Chilli Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
coriander-seeds-jar,Coriander Seeds Jar,,Premium whole and ground spice from Natco Foods. Essential for authentic Indian cooking.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
ajwan-seeds,Ajwan Seeds,,Ajwan Seeds have a similar flavour to thyme but much stronger. Used in Indian breads; gram flour snacks. Also known as Carom. It is often confused with the Lovage seed.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
amchoor-powder,Amchoor Powder,,Natco Amchoor Powder is made from peeled; dried; green mangoes. Used as souring agent in marinades and as a tenderiser. Best used towards the end of cooking. It can be used instead of salt if you are on a low sodium diet.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
black-pepper-coarse,Black Pepper Coarse,,Natco Black Pepper is a necessity for your home - pepper is the world's most popular spice! This is the coarsely ground version; but we also do finely ground and whole peppercorns.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
black-pepper-ground,Black Pepper Ground,,Natco Black Pepper is a necessity for your home - pepper is the world's most popular spice! This is the finely ground version; but we also do coarsely ground and whole peppercorns.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
black-pepper-ground-jar,Black Pepper Ground Jar,,Natco Black Pepper is a necessity for your home - pepper is the world's most popular spice! This is the finely ground version; but we also do coarsely ground and whole peppercorns.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
black-pepper-whole,Black Pepper Whole,,Natco Black Pepper is a necessity for your home - pepper is the world's most popular spice! This is the whole peppercorn version; but we also do coarsely ground and finely ground.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
black-pepper-whole-jar,Black Pepper Whole Jar,,Natco Black Pepper is a necessity for your home - pepper is the world's most popular spice! This is the whole peppercorn version; but we also do coarsely ground and finely ground.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
brown-chick-peas,Brown Chick Peas,,Brown chickpeas are a healthy pulse; full of protein and fibre. Use in dals and spicy salads Foundation Earth has given Natco Brown Chickpeas an A rating meaning that it is a very environmentally sustainable product. Foundation Earth gives each product a rating from A+ to G by assessing the farming; processing; packaging and transport. Foundation Earth is an independent; non-profit organisation that issues environmental scores on food products; enabling consumers to make more sustainable buyin,beans_peas_pulses,vegetarian;vegan;gluten-free,0,published
cardamom-green-ground,Cardamom Green Ground,,Natco Green Cardamoms are highly aromatic with a sweet distinctive flavour. Used in rice dishes; desserts; apple pies and Indian meat dishes. Place a few pods into a pot of tea or coffee and experience a delicious new taste.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
cardamom-green,Cardamom Green,,Natco Green Cardamoms are highly aromatic with a sweet distinctive flavour. Used in rice dishes; desserts; apple pies and Indian meat dishes. Place a few pods into a pot of tea or coffee and experience a delicious new taste. You can also break the pod open and use just the seeds; either whole or crushed.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
cardamom-seeds,Cardamom Seeds,,Natco Green Cardamoms are highly aromatic with a sweet distinctive flavour. Used in rice dishes; desserts; apple pies and Indian meat dishes. Place a few pods into a pot of tea or coffee and experience a delicious new taste. These are just the seeds; removed from their pod.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
cassia-dalchini,Cassia (Dalchini),,Similar to cinnamon sticks; cassia sticks can be used to flavour sweet and savoury dishes.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
chilli-powder,Chilli Powder,,Natco Chilli Powder is made from the skins of dried chillies. It is hot and an essential base for all vindaloo recipes; providing considerable zest and flavour.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
chilli-powder-extra-hot,Chilli Powder Extra Hot,,Natco Hot Chilli Powder is made from the skins of dried chillies. It is extremely hot and an essential base for all vindaloo recipes; providing considerable zest and flavour. Not for the faint hearted!Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
chilli-powder-kashmiri,Chilli Powder Kashmiri,,Natco Chilli Powder is made from the skins of dried chillies. It is hot and an essential base for all vindaloo recipes; providing considerable zest and flavour. This Kashmiri Chilli is known for being more mild; so can give a little heat without overpowering a dish.Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,powdered_spices,vegetarian;vegan;gluten-free,0,published
chilli-whole-birdseye,Chilli Whole Birdseye,,Natco Birdseye Chillies are small but very hot; whole chillies that can be used instead of fresh chillies. Great for hot sauces &amp; chilli oil. Frying the chillies enhances their flavour. Bird Eye chillies may be small but they are very hot so use with care!Our products are manufactured in a site that handles gluten; soya; milk; nuts; peanuts; sesame; mustard; celery and sulphites.,whole_spices_seeds,vegetarian;vegan;gluten-free,0,published
